symbol1,symbol2,t
RNU7-6P,hsa-mir-4692,5.7533569266489986
RNU7-6P,hsa-mir-6890,29.062933593573575
RNU7-6P,hsa-mir-518a-2,3.2869290812747254
RNU7-6P,hsa-mir-4449,3.308557144587601
RNU7-6P,hsa-mir-6088,321842805.464906
RNU7-6P,hsa-mir-512-2,3.3326517012395187
RNU7-6P,hsa-mir-4661,3.0387324462751346
RNU7-6P,hsa-mir-6862-2,7.3912534154929865
RNU7-6P,hsa-mir-641,3.6001600642976888
RNU7-6P,hsa-mir-4435-2,3.86495029295867
RNU7-6P,hsa-mir-4764,3.6726723527731955
RNU7-6P,hsa-mir-548at,3.8221409074428712
RNU7-6P,hsa-mir-874,3.2989445465852572
RNU7-6P,hsa-mir-3177,4.6643851832340211
RNU7-6P,hsa-mir-339,4.684990504079356
RNU7-6P,hsa-mir-6820,4.1206969861713381
RNU7-6P,hsa-mir-544b,6.3864535600509633
RNU7-6P,hsa-mir-5700,643685610.92981207
RNU7-6P,hsa-mir-519a-1,3.2208682881581741
RNU7-6P,hsa-mir-8085,7.40572863468083
RNU7-6P,hsa-mir-1291,6.6456560060987444
RNU7-6P,hsa-mir-7977,5.04191416533361
RNU7-6P,hsa-mir-4731,4.624868367115897
RNU7-6P,hsa-mir-330,7.5985626571691984
RNU7-6P,hsa-mir-521-2,5.0525895898976145
RNU7-6P,hsa-mir-675,3.1107306990337458
RNU7-6P,hsa-mir-3133,3.0894822961222128
RNU7-6P,hsa-mir-769,3.7664586812105525
RNU7-6P,hsa-mir-4326,4.1590959332402981
RNU7-6P,hsa-mir-4502,5.4978370056969084
RNU7-6P,hsa-mir-4770,6.0949401190284211
RNU7-6P,hsa-mir-6821,4.5432217297009236
RNU7-6P,hsa-mir-603,5.9140132246353421
RNU7-6P,hsa-mir-1283-2,4.5662058536067249
RNU7-6P,hsa-mir-6799,4.0956086512213021
RNU7-6P,hsa-mir-210,3.2238137822855597
RNU7-6P,hsa-mir-6797,3.7624491451540307
RNU7-6P,hsa-mir-504,3.368015426639877
RNU7-6P,hsa-mir-4525,7.4488685343166487
RNU7-6P,hsa-mir-5088,3.5385709038735471
RNU7-6P,hsa-mir-876,3.7671068100632792
RNU7-6P,hsa-mir-6796,6.690535345048449
RNU7-6P,hsa-mir-3651,4.88501979950479
RNU7-6P,hsa-mir-512-1,4.12211350520345
RNU7-6P,hsa-mir-371b,3.6347414973568166
RNU7-6P,hsa-mir-27b,3.15504832306634
RNU7-6P,hsa-mir-5100,14.590206152770152
RNU7-6P,hsa-mir-7641-2,6.2077435135078494
RNU7-6P,hsa-mir-3120,4.6950429347481792
RNU7-6P,hsa-mir-4454,6.8608027262662192
RNU7-6P,hsa-mir-3186,4.2242282400162505
RNU7-6P,hsa-mir-7641-1,10.952788227599989
RNU7-6P,hsa-mir-1915,13.055398076959856
