month,product_category,total_order,order_growth,total_revenue,revenue_growth,total_profit,profit_growth
2019-07,Accessories,16,100.0,751.0399971008301,465.5421626333368,451.9211597053401,476.33102525137144
2019-07,Active,20,150.0,1269.1199951171875,271.4896196488743,739.2758445482426,271.34568416227376
2019-07,Blazers & Jackets,5,25.0,579.4899978637695,382.38575036386567,351.93399733614547,383.1366735631885
2019-07,Dresses,7,16.666666666666664,459.8600044250488,-46.73415687515526,257.24661276574466,-43.76411780461588
2019-07,Fashion Hoodies & Sweatshirts,22,69.23076923076923,1087.3399982452393,82.48858544654658,497.5020785728882,80.93468915753135
2019-07,Intimates,22,29.411764705882355,641.6699995994568,-2.4016675128653775,297.09835026355563,-5.672169901836303
2019-07,Jeans,8,-27.27272727272727,686.0800018310547,-55.259056167697686,303.9539313220193,-57.79644744562066
2019-07,Jumpsuits & Rompers,1,,96.0,,47.42400008440018,
2019-07,Leggings,4,-33.33333333333333,145.97999954223633,1.1221957731813896,59.766719559441064,2.7904412355425694
2019-07,Maternity,8,33.33333333333333,424.40999603271484,31.02309163738556,232.88458702289017,29.62194959111172
2019-07,Outerwear & Coats,14,40.0,1540.8100090026855,-1.0525296527243604,849.9517041325263,-4.253893640380258
2019-07,Pants,13,44.44444444444444,555.7000026702881,-15.253462087024861,306.6991108522777,-14.211131338398667
2019-07,Pants & Capris,7,250.0,286.4700012207031,194.8435645268561,135.90533064844652,213.233764947545
2019-07,Plus,5,66.66666666666666,141.60000133514404,148.50825284788442,69.50530069326871,160.41818570746332
2019-07,Shorts,12,-29.411764705882355,1632.4400024414062,106.43154358356782,825.6725321706244,106.58204062282348
2019-07,Skirts,1,-66.66666666666666,18.149999618530277,-88.02691496783378,10.853699797202557,-87.82639816988582
2019-07,Sleep & Lounge,10,-33.33333333333333,657.7000007629395,5.252207402404458,337.49620072908994,9.16524412828877
2019-07,Socks,7,-12.5,168.83000087738037,71.95966794921196,66.46621022863589,77.01297092961924
2019-07,Socks & Hosiery,2,-50.0,30.0,-28.96045388303757,17.025000052526593,-29.992231649908707
