feature_name,avg_counts_clust41,avg_counts_clust41_1,mean_diff
COTL1,4.1952762042774863,0.92115389774827394,3.2741223065292124
GRP,4.80914031758028,1.8481213317977057,2.9610189857825739
HSPA1A,4.0648072397007668,1.27532935994012,2.7894778797606468
HSPA1B,2.9949704296886925,0.59544713582311359,2.3995232938655788
DNAJB1,3.0171101549092461,0.73891843003886093,2.2781917248703851
HSPB1,3.7539867443196915,1.5424726570353788,2.2115140872843124
MEST,3.218601437175975,1.2644361274109945,1.9541653097649805
HSP90AA1,4.3562968618729538,2.7574053141805859,1.598891547692368
JUN,3.0391539335250854,1.4736981549683739,1.5654557785567116
SEC11C,5.1298331653370575,3.6396834850311279,1.4901496803059295
HSPA5,2.3302080649882551,0.85980668663978588,1.4704013783484693
SELENOW,2.6236381811254166,1.2033816377321875,1.420256543393229
GADD45G,2.157071216901143,0.87828171795064758,1.2787894989504953
FRMPD1,1.7741842269897461,0.5028984546661377,1.2712857723236084
TBCD,1.65307005867362,0.44558630883693695,1.2074837498366831
TUBA1A,4.4798699968001419,3.3051552242702913,1.1747147725298506
SAP18,2.3504190304700066,1.20083686709404,1.1495821633759666
NUPR1,1.4765761686222894,0.34322652220726013,1.1333496464150292
IFI27,3.0688276992124668,1.9505002061525982,1.1183274930598686
POMC,1.7167781529327235,0.61820179224014282,1.0985763606925807
